CustomerID,Product,Price,Quantity,PurchaseDate
1,Laptop,162.15,1,2023-12-26 09:09:47
1,Camera,790.79,2,2023-12-24 18:35:58
1,Camera,431.35,3,2024-01-15 09:30:59
1,Shoes,923.87,2,2023-08-14 03:53:12
1,Jacket,704.91,2,2023-08-17 17:36:43
2,Headphones,521.45,3,2024-02-08 15:40:08
2,Headphones,326.07,2,2023-07-31 04:09:57
3,Watch,57.5,2,2024-03-25 19:15:43
4,Jacket,118.61,3,2024-02-22 16:05:18
5,Laptop,863.08,2,2023-11-27 01:12:21
6,Camera,236.3,3,2023-05-20 06:06:33
7,Jacket,81.83,3,2023-05-15 06:00:24
7,Smartphone,345.93,1,2024-04-05 06:16:24
8,Shoes,201.15,1,2023-05-19 06:31:21
8,Shoes,222.31,2,2023-12-21 07:17:43
8,Jacket,266.79,2,2023-09-11 12:34:20
8,Smartphone,206.52,2,2023-07-14 11:44:31
8,Headphones,895.9,1,2023-12-12 06:55:44
9,Jacket,734.57,1,2023-07-01 04:49:58
9,Smartphone,785.5,1,2023-07-13 20:29:13
9,Headphones,314.1,1,2024-04-27 12:36:33
10,Watch,680.02,2,2023-12-09 13:24:52
10,Camera,74.88,2,2023-09-19 20:28:30
10,Watch,846.52,1,2023-10-11 07:50:13
11,Camera,817.5,1,2024-01-30 16:58:51
12,Watch,384.21,1,2023-07-08 17:41:31
12,Headphones,982.13,1,2024-03-17 14:03:14
13,Shoes,586.75,3,2023-07-01 11:10:51
14,Laptop,989.17,2,2023-11-25 02:06:16
14,Headphones,790.68,2,2023-11-24 15:27:10
14,Shoes,139.37,2,2024-02-10 07:17:11
14,Jacket,838.84,1,2023-07-06 16:50:20
15,Watch,883.72,1,2023-08-05 23:00:21
15,Laptop,303.47,3,2023-09-28 13:00:06
15,Watch,850.38,3,2023-09-19 18:08:00
16,Shoes,621.34,1,2024-04-16 16:36:25
16,Headphones,736.81,3,2023-09-04 22:30:35
16,Smartphone,122.21,1,2023-08-08 12:00:42
16,Laptop,423.96,1,2023-08-20 02:49:18
16,Headphones,737.81,3,2023-11-11 15:11:52
17,Laptop,905.65,1,2024-02-22 15:06:29
17,Jacket,862.77,3,2023-09-27 14:57:13
17,Camera,557.28,1,2023-10-14 09:29:41
17,Smartphone,63.87,3,2023-09-25 12:33:43
18,Headphones,987.2,3,2023-08-14 04:31:24
18,Watch,721.01,3,2023-10-31 15:24:03
19,Smartphone,352.37,3,2024-03-22 01:49:59
19,Headphones,850.98,3,2023-07-16 07:58:19
19,Headphones,452.91,1,2024-03-11 16:11:29
19,Watch,319.7,2,2023-05-19 03:55:39
20,Laptop,866.01,1,2023-06-10 07:54:15
20,Shoes,905.26,3,2024-03-09 05:58:33
20,Watch,711.83,2,2024-03-10 23:28:28
21,Camera,376.61,3,2024-05-09 20:55:03
21,Jacket,942.49,3,2023-07-30 17:21:04
21,Smartphone,108.4,1,2023-08-30 10:48:33
21,Smartphone,815.06,2,2023-07-18 02:14:22
21,Headphones,312.63,2,2023-08-04 21:43:14
22,Headphones,625.12,3,2024-03-15 11:11:25
22,Watch,106.35,3,2024-01-11 06:55:12
22,Smartphone,703.34,3,2023-10-10 11:06:58
22,Jacket,423.79,3,2023-08-25 05:16:18
22,Watch,800.18,2,2024-03-18 22:00:38
23,Smartphone,174.41,3,2024-04-22 05:47:12
23,Shoes,947.75,1,2023-06-26 13:48:35
23,Shoes,329.75,1,2023-11-10 07:06:22
24,Laptop,681.54,3,2023-08-30 23:42:37
25,Headphones,459.48,1,2023-12-30 02:02:06
25,Headphones,213.11,3,2023-08-08 19:06:24
25,Laptop,811.59,2,2024-01-14 12:02:19
25,Camera,327.08,1,2023-06-22 23:34:37
25,Smartphone,164.27,2,2023-07-08 04:25:08
26,Watch,622.3,1,2023-10-03 06:05:01
26,Headphones,487.34,1,2023-12-30 02:58:19
26,Smartphone,519.54,1,2024-01-05 14:27:18
26,Laptop,505.06,1,2024-04-23 17:59:21
26,Laptop,209.19,2,2023-10-24 04:19:10
27,Jacket,633.83,2,2024-02-01 15:52:25
28,Laptop,915.55,1,2023-08-10 11:05:16
28,Camera,964.8,2,2024-04-03 22:52:12
29,Headphones,343.4,3,2023-07-28 03:07:13
29,Camera,492.58,3,2024-01-31 20:15:56
29,Camera,236.95,2,2023-11-04 09:50:28
30,Shoes,942.11,3,2023-05-31 19:07:43
30,Camera,132.57,3,2023-08-27 06:12:55
30,Headphones,980.07,1,2023-08-16 20:32:24
30,Smartphone,577.33,1,2023-12-29 15:22:35
31,Headphones,723.12,3,2023-07-27 07:06:26
32,Camera,998.61,3,2023-12-27 18:58:13
32,Headphones,351.87,3,2023-08-15 15:17:45
32,Headphones,102.6,1,2023-07-06 19:44:02
33,Headphones,980.51,2,2023-06-13 19:22:10
33,Shoes,969.96,1,2023-09-04 09:05:16
33,Watch,525.88,1,2023-07-28 10:41:34
33,Camera,909.92,3,2023-12-12 01:10:47
33,Camera,482.05,2,2023-12-11 18:45:43
34,Jacket,718.07,3,2023-06-28 04:08:00
35,Camera,366.31,2,2024-02-20 18:39:59
35,Camera,906.16,2,2024-02-09 10:04:04
35,Camera,361.85,2,2023-12-31 07:17:27
36,Jacket,528.65,2,2023-08-04 15:15:28
36,Watch,69.87,2,2024-04-18 21:54:43
36,Camera,653.84,3,2023-12-05 16:48:05
36,Laptop,698.72,2,2023-09-27 21:33:46
