CustomerID,Product,Price,Quantity,PurchaseDate
1,Watch,212.16,3,2024-04-30 08:23:56
1,Laptop,672.93,2,2024-01-07 14:28:32
1,Laptop,549.29,2,2024-02-26 17:19:00
2,Headphones,947.58,1,2023-07-17 06:11:45
2,Watch,354.49,3,2023-05-15 14:59:08
2,Camera,222.48,2,2023-10-10 10:07:02
3,Laptop,478.45,2,2023-06-16 00:31:07
3,Headphones,377.58,2,2023-06-08 05:40:02
4,Watch,908.41,3,2023-06-23 09:13:34
4,Laptop,289.62,1,2023-06-13 16:27:18
5,Camera,50.85,3,2023-11-25 10:57:03
5,Shoes,943.48,1,2024-01-20 23:41:30
6,Headphones,872.02,2,2024-03-30 20:42:21
6,Jacket,54.71,3,2024-01-24 16:09:26
6,Smartphone,124.3,2,2023-12-25 12:18:23
6,Headphones,422.04,1,2023-06-21 17:56:33
6,Camera,425.76,2,2024-02-05 20:57:07
7,Watch,932.32,3,2024-02-09 00:21:52
7,Headphones,560.1,3,2023-07-08 01:01:04
8,Jacket,722.54,2,2024-05-01 09:08:27
8,Headphones,854.12,2,2023-10-17 23:22:43
9,Camera,297.42,1,2023-07-24 23:01:52
9,Laptop,916.34,1,2023-05-22 13:38:17
10,Camera,102.57,3,2023-10-01 19:52:21
10,Watch,786.18,2,2023-12-25 05:07:50
10,Watch,936.86,3,2023-06-17 20:47:46
10,Shoes,988.79,1,2023-11-12 12:48:45
10,Smartphone,821.65,3,2023-07-17 22:06:27
11,Laptop,732.22,2,2023-08-28 16:17:22
11,Headphones,454.57,3,2024-02-12 10:33:08
11,Headphones,61.19,1,2023-05-16 22:13:16
11,Shoes,693.53,2,2023-08-06 05:17:09
12,Jacket,763.77,3,2023-07-17 02:13:48
12,Laptop,934.23,3,2023-08-10 13:27:55
12,Watch,783.02,1,2023-10-25 05:19:38
12,Headphones,846.36,2,2023-11-09 20:21:16
13,Jacket,165.86,2,2024-01-30 13:54:45
13,Watch,756.04,3,2024-03-01 14:40:33
13,Shoes,919.3,3,2024-03-02 00:43:10
13,Camera,586.8,3,2023-05-16 15:50:58
13,Camera,86.83,2,2023-06-03 18:49:08
14,Headphones,707.01,3,2023-08-06 19:40:00
14,Jacket,824.04,3,2024-02-19 08:22:45
14,Smartphone,694.48,3,2023-05-17 09:17:36
14,Jacket,341.84,1,2024-03-29 12:17:04
14,Watch,436.34,2,2023-10-14 08:28:56
15,Headphones,750.99,2,2024-01-16 12:21:10
15,Shoes,484.25,3,2024-02-28 06:18:45
15,Camera,633.74,3,2024-02-10 09:32:53
16,Watch,773.62,1,2024-04-13 08:01:07
16,Laptop,458.74,3,2024-01-31 04:08:06
16,Shoes,820.08,1,2023-09-13 06:07:59
16,Jacket,339.38,2,2024-04-26 16:51:06
17,Watch,446.0,3,2024-01-07 06:21:14
17,Headphones,457.56,2,2023-11-10 16:01:42
17,Laptop,675.64,2,2023-12-18 19:15:11
17,Camera,294.55,3,2023-05-27 21:47:14
17,Jacket,93.14,2,2023-09-22 01:11:14
18,Headphones,150.96,1,2023-08-20 02:06:09
18,Watch,676.35,1,2023-08-26 09:25:09
18,Headphones,419.06,1,2023-09-16 18:19:46
18,Watch,628.58,1,2023-07-21 19:27:29
19,Camera,867.86,2,2023-10-31 16:04:52
19,Laptop,893.98,2,2024-02-11 05:54:31
19,Camera,626.05,1,2023-08-29 15:18:35
20,Laptop,931.98,1,2024-02-15 16:11:23
21,Watch,886.35,2,2024-04-20 23:53:52
21,Watch,224.46,1,2023-09-11 00:52:43
21,Watch,631.86,2,2023-10-27 16:22:27
21,Shoes,236.74,2,2023-06-23 15:55:02
22,Laptop,916.95,3,2023-08-14 05:36:45
22,Camera,344.12,1,2023-08-01 22:05:00
22,Headphones,273.18,1,2023-07-17 09:27:15
23,Jacket,878.1,2,2023-10-28 19:12:59
23,Camera,714.36,3,2023-12-13 13:02:53
23,Watch,257.3,1,2023-10-18 18:39:40
23,Watch,691.8,1,2024-04-10 18:33:13
24,Camera,122.01,3,2023-12-30 17:34:53
24,Headphones,380.39,3,2024-03-19 23:59:35
25,Headphones,184.64,1,2023-09-15 20:03:43
25,Smartphone,606.22,3,2024-04-22 20:44:19
25,Watch,516.32,3,2024-03-20 08:57:18
25,Headphones,181.2,3,2023-08-27 16:30:12
26,Jacket,918.33,2,2023-09-01 02:46:28
26,Headphones,183.56,2,2024-02-24 01:51:15
27,Smartphone,199.21,2,2023-11-10 17:46:57
28,Camera,435.24,3,2024-01-20 07:24:49
28,Headphones,306.66,2,2024-03-13 09:40:38
28,Jacket,326.33,2,2023-05-14 05:16:08
